configuration_accession,modality,lab,submitted_by,award_component,file_set_accession,assay_term,preferred_assay_titles,aliases,raw_seqspec_version,normalized_seqspec_version,stage,reason,message
IGVFFI5840ZDYJ,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS8347TPDV,,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_repA_bulk_DNA_day16_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI5857HOHG,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS4286KGNY,,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_rep2B_part2_bulk_DNA_day8_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI5872YKVJ,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS2637WTJT,,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_repB_bulk_DNA_day20_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI5964NTAF,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS2451XUXG,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS701_well3G_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI6000TCLG,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS9802GLSQ,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS701_well2A_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI6039STCJ,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS9566FDYZ,massively parallel reporter assay,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_repA_bulk_RNA_day14_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI6059HNER,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS7145WTJW,,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_repB_bulk_DNA_day21_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI6078KHDM,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS1876MWTA,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS706_well2E_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI6098DUXE,rna,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS0877DBYT,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,enumerate_files,seqspec_file_error,curl exited with status exit status: 35 while reading 'https://api.data.igvf.org/configuration-files/IGVFFI6098DUXE/@@download/IGVFFI6098DUXE.yaml.gz': curl: (35) Recv failure: Connection reset by peer
IGVFFI6111KMQB,,"Charles Gersbach, Duke",Ruhi Rai,functional characterization,IGVFDS8404CSTN,in vitro CRISPR screen using single-cell RNA-seq,Perturb-seq,charles-gersbach:hPA-Seqspec-perturbseq-10xlane2-GEX-L1,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
