configuration_accession,modality,lab,submitted_by,award_component,file_set_accession,assay_term,preferred_assay_titles,aliases,raw_seqspec_version,normalized_seqspec_version,stage,reason,message
IGVFFI3054IIXK,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS1759BCUE,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS702_well1D_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI3091GPCZ,rna,"Ansuman Satpathy, Stanford",Christopher Mcginnis,mapping,IGVFDS7297BZEA,single-nucleus RNA sequencing assay,10x multiome with MULTI-seq,ansuman-satpathy:seqspec_igvf_exp12_rna_10x5_NGS5,0.3.0,0.4.0,enumerate_files,seqspec_file_error,Input source does not exist: https://api.data.igvf.org/configuration-files/IGVFFI3091GPCZ/@@download/IGVFFI3091GPCZ.yaml.gz
IGVFFI3096OJLP,atac,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS9908RUIV,single-cell ATAC-seq,SHARE-seq,buenrostro-bernstein:SS-LS_9119_seqspec,0.3.0,0.4.0,enumerate_files,seqspec_file_error,Input source does not exist: https://api.data.igvf.org/configuration-files/IGVFFI3096OJLP/@@download/IGVFFI3096OJLP.yaml.gz
IGVFFI3100MHYG,,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS8000MJXZ,single-cell RNA sequencing assay,SHARE-seq,buenrostro-bernstein:SS-LS_3975_seqspec,0.3.0,0.4.0,enumerate_modalities,seqspec_info_error,curl exited with status exit status: 35 while reading 'https://api.data.igvf.org/configuration-files/IGVFFI3100MHYG/@@download/IGVFFI3100MHYG.yaml.gz': curl: (35) Recv failure: Connection reset by peer
IGVFFI3102WZNV,,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS3368OEWN,single-cell ATAC-seq,SHARE-seq,buenrostro-bernstein:SS-LS_7337_seqspec,0.3.0,0.4.0,enumerate_modalities,seqspec_info_error,Input source does not exist: https://api.data.igvf.org/configuration-files/IGVFFI3102WZNV/@@download/IGVFFI3102WZNV.yaml.gz
IGVFFI3104GUKT,,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS0168ULCR,single-nucleus RNA sequencing assay,10x multiome,,,,seqspec_version,seqspec_version_error,Input source does not exist: https://api.data.igvf.org/configuration-files/IGVFFI3104GUKT/@@download/IGVFFI3104GUKT.yaml.gz
IGVFFI3105FROG,,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS7782SATY,single-nucleus ATAC-seq,10x multiome,,0.3.0,0.4.0,enumerate_modalities,seqspec_info_error,Input source does not exist: https://api.data.igvf.org/configuration-files/IGVFFI3105FROG/@@download/IGVFFI3105FROG.yaml.gz
IGVFFI3105GAIN,,"Ansuman Satpathy, Stanford",Christopher Mcginnis,functional characterization,IGVFDS2170OFES,single-nucleus RNA sequencing assay,10x multiome with MULTI-seq,ansuman-satpathy:seqspec_igvf_exp17_rna_10x3_NGS4,0.3.0,0.4.0,enumerate_modalities,seqspec_info_error,curl exited with status exit status: 35 while reading 'https://api.data.igvf.org/configuration-files/IGVFFI3105GAIN/@@download/IGVFFI3105GAIN.yaml.gz': curl: (35) Recv failure: Connection reset by peer
IGVFFI3105NWFB,,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS2676HFQT,single-cell ATAC-seq,SHARE-seq,buenrostro-bernstein:SS-LS_9017_seqspec,,,seqspec_version,seqspec_version_error,Input source does not exist: https://api.data.igvf.org/configuration-files/IGVFFI3105NWFB/@@download/IGVFFI3105NWFB.yaml.gz
IGVFFI3105WHXP,,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS9261WYKR,single-cell ATAC-seq,SHARE-seq,buenrostro-bernstein:SS-LS_4343_seqspec,0.3.0,0.4.0,enumerate_modalities,seqspec_info_error,curl exited with status exit status: 35 while reading 'https://api.data.igvf.org/configuration-files/IGVFFI3105WHXP/@@download/IGVFFI3105WHXP.yaml.gz': curl: (35) Recv failure: Connection reset by peer
IGVFFI3107CPXS,,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS1569MDXC,single-cell ATAC-seq,SHARE-seq,buenrostro-bernstein:SS-LS_5320_seqspec,,,seqspec_version,seqspec_version_error,Input source does not exist: https://api.data.igvf.org/configuration-files/IGVFFI3107CPXS/@@download/IGVFFI3107CPXS.yaml.gz
IGVFFI3107TGIO,,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS1619JIAZ,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,,,seqspec_version,seqspec_version_error,Input source does not exist: https://api.data.igvf.org/configuration-files/IGVFFI3107TGIO/@@download/IGVFFI3107TGIO.yaml.gz
IGVFFI3109ZIHR,,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS9490BYGZ,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,,,seqspec_version,seqspec_version_error,Input source does not exist: https://api.data.igvf.org/configuration-files/IGVFFI3109ZIHR/@@download/IGVFFI3109ZIHR.yaml.gz
IGVFFI3112KFAR,,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS0028AWOA,single-nucleus ATAC-seq,10x multiome,,,,seqspec_version,seqspec_version_error,Input source does not exist: https://api.data.igvf.org/configuration-files/IGVFFI3112KFAR/@@download/IGVFFI3112KFAR.yaml.gz
IGVFFI3113BANQ,atac,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS3423DTHY,single-nucleus ATAC-seq,10x multiome,,0.3.0,0.4.0,enumerate_files,seqspec_file_error,curl exited with status exit status: 35 while reading 'https://api.data.igvf.org/configuration-files/IGVFFI3113BANQ/@@download/IGVFFI3113BANQ.yaml.gz': curl: (35) Recv failure: Connection reset by peer
IGVFFI3113FXPW,,"Ansuman Satpathy, Stanford",Christopher Mcginnis,mapping,IGVFDS9237NVSE,single-nucleus ATAC-seq,10x multiome with MULTI-seq,ansuman-satpathy:seqspec_igvf_exp12_atac_10x7_NGS2,0.3.0,0.4.0,enumerate_modalities,seqspec_info_error,Input source does not exist: https://api.data.igvf.org/configuration-files/IGVFFI3113FXPW/@@download/IGVFFI3113FXPW.yaml.gz
IGVFFI3113PSDE,,"Ansuman Satpathy, Stanford",Christopher Mcginnis,mapping,IGVFDS9737EJUL,,10x multiome with MULTI-seq,ansuman-satpathy:seqspec_igvf_exp13_multi_10x3_NGS3,0.3.0,0.4.0,enumerate_modalities,seqspec_info_error,curl exited with status exit status: 35 while reading 'https://api.data.igvf.org/configuration-files/IGVFFI3113PSDE/@@download/IGVFFI3113PSDE.yaml.gz': curl: (35) Recv failure: Connection reset by peer
IGVFFI3115FNSE,,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS4171WSHF,single-nucleus ATAC-seq,10x multiome,,,,seqspec_version,seqspec_version_error,curl exited with status exit status: 35 while reading 'https://api.data.igvf.org/configuration-files/IGVFFI3115FNSE/@@download/IGVFFI3115FNSE.yaml.gz': curl: (35) Recv failure: Connection reset by peer
IGVFFI3116ENLC,,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS9261WYKR,single-cell ATAC-seq,SHARE-seq,buenrostro-bernstein:SS-LS_3854_seqspec,,,seqspec_version,seqspec_version_error,Input source does not exist: https://api.data.igvf.org/configuration-files/IGVFFI3116ENLC/@@download/IGVFFI3116ENLC.yaml.gz
IGVFFI3116HSPV,,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS1028AELE,single-nucleus RNA sequencing assay,10x multiome,,,,seqspec_version,seqspec_version_error,curl exited with status exit status: 35 while reading 'https://api.data.igvf.org/configuration-files/IGVFFI3116HSPV/@@download/IGVFFI3116HSPV.yaml.gz': curl: (35) Recv failure: Connection reset by peer
IGVFFI3116OYUP,,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS1387CFOT,single-cell ATAC-seq,SHARE-seq,buenrostro-bernstein:SS-LS_1565_seqspec_fixed,,,seqspec_version,seqspec_version_error,Input source does not exist: https://api.data.igvf.org/configuration-files/IGVFFI3116OYUP/@@download/IGVFFI3116OYUP.yaml.gz
IGVFFI3116USLT,atac,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS4920HAWH,single-cell ATAC-seq,SHARE-seq,buenrostro-bernstein:SS-LS_1591_seqspec_fixed,0.3.0,0.4.0,enumerate_files,seqspec_file_error,curl exited with status exit status: 35 while reading 'https://api.data.igvf.org/configuration-files/IGVFFI3116USLT/@@download/IGVFFI3116USLT.yaml.gz': curl: (35) Recv failure: Connection reset by peer
IGVFFI3117QSBZ,,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS5934LTVM,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,enumerate_modalities,seqspec_info_error,curl exited with status exit status: 35 while reading 'https://api.data.igvf.org/configuration-files/IGVFFI3117QSBZ/@@download/IGVFFI3117QSBZ.yaml.gz': curl: (35) Recv failure: Connection reset by peer
IGVFFI3117WLDS,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS0774ETMA,,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_repA_bulk_DNA_day10_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI3118RSSB,,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS8236SOPB,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,enumerate_modalities,seqspec_info_error,Input source does not exist: https://api.data.igvf.org/configuration-files/IGVFFI3118RSSB/@@download/IGVFFI3118RSSB.yaml.gz
IGVFFI3120GNUD,,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS1387CFOT,single-cell ATAC-seq,SHARE-seq,buenrostro-bernstein:SS-LS_1757_seqspec_fixed,0.3.0,0.4.0,enumerate_modalities,seqspec_info_error,Input source does not exist: https://api.data.igvf.org/configuration-files/IGVFFI3120GNUD/@@download/IGVFFI3120GNUD.yaml.gz
IGVFFI3122AXUY,,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS9085MJZT,single-cell RNA sequencing assay,SHARE-seq,buenrostro-bernstein:SS-LS_2687_seqspec2,,,seqspec_version,seqspec_version_error,Input source does not exist: https://api.data.igvf.org/configuration-files/IGVFFI3122AXUY/@@download/IGVFFI3122AXUY.yaml.gz
IGVFFI3122CWEV,,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS4563BCFV,single-cell ATAC-seq,SHARE-seq,buenrostro-bernstein:SS-LS_1667_seqspec_fixed,,,seqspec_version,seqspec_version_error,Input source does not exist: https://api.data.igvf.org/configuration-files/IGVFFI3122CWEV/@@download/IGVFFI3122CWEV.yaml.gz
IGVFFI3122IQBP,,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS5168HWYG,single-cell ATAC-seq,SHARE-seq,buenrostro-bernstein:SS-LS_4396_seqspec,0.3.0,0.4.0,enumerate_modalities,seqspec_info_error,Input source does not exist: https://api.data.igvf.org/configuration-files/IGVFFI3122IQBP/@@download/IGVFFI3122IQBP.yaml.gz
IGVFFI3126WJBO,,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS4617MHLV,single-nucleus ATAC-seq,10x multiome,,,,seqspec_version,seqspec_version_error,curl exited with status exit status: 35 while reading 'https://api.data.igvf.org/configuration-files/IGVFFI3126WJBO/@@download/IGVFFI3126WJBO.yaml.gz': curl: (35) Recv failure: Connection reset by peer
IGVFFI3127PQYM,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS1813PQFV,bulk RNA-seq assay,RNA-seq,jay-shendure:seqspec_of_set_CRISPRa_singlevalidations_K562_TCF4_rep1,0.3.0,0.4.0,enumerate_modalities,seqspec_info_error,Input source does not exist: https://api.data.igvf.org/configuration-files/IGVFFI3127PQYM/@@download/IGVFFI3127PQYM.yaml.gz
IGVFFI3127WENG,rna,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS3777TUPG,single-cell RNA sequencing assay,SHARE-seq,buenrostro-bernstein:SS-LS_3989_seqspec,0.3.0,0.4.0,enumerate_files,seqspec_file_error,Input source does not exist: https://api.data.igvf.org/configuration-files/IGVFFI3127WENG/@@download/IGVFFI3127WENG.yaml.gz
IGVFFI3127XZCT,,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS4314DDJA,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,enumerate_modalities,seqspec_info_error,Input source does not exist: https://api.data.igvf.org/configuration-files/IGVFFI3127XZCT/@@download/IGVFFI3127XZCT.yaml.gz
IGVFFI3129KXEM,,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS3441ARIK,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,,,seqspec_version,seqspec_version_error,curl exited with status exit status: 35 while reading 'https://api.data.igvf.org/configuration-files/IGVFFI3129KXEM/@@download/IGVFFI3129KXEM.yaml.gz': curl: (35) Recv failure: Connection reset by peer
IGVFFI3131ANZF,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS7645MEIE,,MPRA (scQer),jay-shendure:seqspec_of_set_IGVFDS7645MEIE,,,seqspec_version,seqspec_version_error,Input source does not exist: https://api.data.igvf.org/configuration-files/IGVFFI3131ANZF/@@download/IGVFFI3131ANZF.yaml.gz
IGVFFI3132DNHF,,"Leif Ludwig, MDC",Ludwig Lab,mapping,IGVFDS7690BMNL,single-cell RNA sequencing assay,mtscMultiome,leif-ludwig:measurement230571005C_scRNA_L005_seqspec,,,seqspec_version,seqspec_version_error,Input source does not exist: https://api.data.igvf.org/configuration-files/IGVFFI3132DNHF/@@download/IGVFFI3132DNHF.yaml.gz
IGVFFI3136BVOB,,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS2128TDSX,single-cell ATAC-seq,SHARE-seq,buenrostro-bernstein:SS-LS_3917_seqspec,,,seqspec_version,seqspec_version_error,Input source does not exist: https://api.data.igvf.org/configuration-files/IGVFFI3136BVOB/@@download/IGVFFI3136BVOB.yaml.gz
IGVFFI3139ACNT,,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS0002EUAT,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,,,seqspec_version,seqspec_version_error,Input source does not exist: https://api.data.igvf.org/configuration-files/IGVFFI3139ACNT/@@download/IGVFFI3139ACNT.yaml.gz
IGVFFI3139JPJP,,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS2203EWPQ,single-nucleus ATAC-seq,10x multiome,,,,seqspec_version,seqspec_version_error,Input source does not exist: https://api.data.igvf.org/configuration-files/IGVFFI3139JPJP/@@download/IGVFFI3139JPJP.yaml.gz
IGVFFI3141GNBX,,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS7165EWYS,single-cell RNA sequencing assay,SHARE-seq,buenrostro-bernstein:SS-LS_2400_seqspec_fixed,,,seqspec_version,seqspec_version_error,Input source does not exist: https://api.data.igvf.org/configuration-files/IGVFFI3141GNBX/@@download/IGVFFI3141GNBX.yaml.gz
IGVFFI3142ZKIH,,"Ansuman Satpathy, Stanford",Christopher Mcginnis,mapping,IGVFDS7297BZEA,single-nucleus RNA sequencing assay,10x multiome with MULTI-seq,ansuman-satpathy:seqspec_igvf_exp12_rna_10x5_NGS4,,,seqspec_version,seqspec_version_error,Input source does not exist: https://api.data.igvf.org/configuration-files/IGVFFI3142ZKIH/@@download/IGVFFI3142ZKIH.yaml.gz
IGVFFI3146GSKQ,,,,,,,,,,,worker,unhandled_exception,Expecting value: line 1 column 1 (char 0)
IGVFFI3224CMDE,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS5298EFXG,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS702_well3F_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI3227TDMR,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS2525VPJF,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS701_well1C_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI3262QMJL,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS4541EOJA,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS706_well1H_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI3325ETFC,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS5025YBDR,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS703_well3A_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI3330RHRV,,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS2377SEOL,single-nucleus RNA sequencing assay,10x multiome,,0.3.0,0.4.0,enumerate_modalities,seqspec_info_error,Input source does not exist: https://api.data.igvf.org/configuration-files/IGVFFI3330RHRV/@@download/IGVFFI3330RHRV.yaml.gz
IGVFFI3344PMDD,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS5385RHAI,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS706_well3C_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI3351LNCL,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS0296URTA,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS703_well2H_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI3358NXRK,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS3243QJWW,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS704_well2A_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI3404ZRRJ,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS3859HHEX,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS701_well3H_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI3420TSXZ,crispr,"Charles Gersbach, Duke",Ian Whaling,functional characterization,IGVFDS9108NLTS,,Perturb-seq,charles-gersbach:IGVFFI3933DRIM_v0.3.0_upgraded,0.3.0,0.4.0,resolve_fastqs,missing_fastq_metadata,Could not resolve FASTQ metadata for expected file '/data/reddylab/Alex/collab/20220523_Sean/data/sc_rna_seq/fastq/gRNA_CRISPRa_D1_S10_L002_R1_001.fastq.gz'.
IGVFFI3440HVXX,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS1996RVLO,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS701_well1A_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI3445MMRA,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS0034QRTM,,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_repA_bulk_DNA_day20_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI3508ZDVF,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS8746LSXO,,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_rep2B_part1_bulk_DNA_day4_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI3631ESRA,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS7547SYUP,massively parallel reporter assay,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_repA_bulk_RNA_day8_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI3633ZDLC,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS8540VFIL,massively parallel reporter assay,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_rep2B_part1_bulk_RNA_day4_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI3771RUNF,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS7999MWWT,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS705_well3H_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI3788TENT,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS4592KMKQ,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS703_well2E_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI3858NMGU,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS5800OTLT,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS704_well2C_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI3859HRRH,,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS6369AVJI,single-cell ATAC-seq,SHARE-seq,buenrostro-bernstein:SS-LS_8954_seqspec,,,seqspec_version,seqspec_version_error,Input source does not exist: https://api.data.igvf.org/configuration-files/IGVFFI3859HRRH/@@download/IGVFFI3859HRRH.yaml.gz
IGVFFI3879POIV,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS5196HQYE,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS701_well2E_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI3931ZJRD,,"Ansuman Satpathy, Stanford",Christopher Mcginnis,mapping,IGVFDS7320EONJ,,10x multiome with MULTI-seq,ansuman-satpathy:seqspec_igvf_exp6_multi_10x2_NGS2,0.3.0,0.4.0,enumerate_modalities,seqspec_info_error,curl exited with status exit status: 56 while reading 'https://api.data.igvf.org/configuration-files/IGVFFI3931ZJRD/@@download/IGVFFI3931ZJRD.yaml.gz': curl: (56) Recv failure: Connection reset by peer
IGVFFI3960AQTI,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS1064LHGI,,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_repA_bulk_DNA_day14_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI3962PCKX,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS0459QBKF,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS703_well1G_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI3966UXCB,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS9778WLEE,massively parallel reporter assay,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_rep2B_part1_bulk_RNA_day0_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI3967UGRB,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS9223RRBX,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS703_well2A_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI3995XTWY,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS2047KEEM,massively parallel reporter assay,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_rep2B_part2_bulk_RNA_day0_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI4034MNFR,,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS1225ARBV,single-nucleus RNA sequencing assay,10x multiome,,0.3.0,0.4.0,enumerate_modalities,seqspec_info_error,curl exited with status exit status: 35 while reading 'https://api.data.igvf.org/configuration-files/IGVFFI4034MNFR/@@download/IGVFFI4034MNFR.yaml.gz': curl: (35) Recv failure: Connection reset by peer
IGVFFI4054WFXD,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS6659WMZJ,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS703_well1E_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI4060JACW,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS7059CWBY,,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_repA_bulk_DNA_day12_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI4073EGNC,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS6028VFBK,,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_rep2B_part1_bulk_DNA_day0_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI4106VMGU,,,,,,,,,,,worker,unhandled_exception,Expecting value: line 1 column 1 (char 0)
IGVFFI4163AAXY,,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS2063ABVV,single-cell ATAC-seq,SHARE-seq,buenrostro-bernstein:SS-LS_8503_seqspec,,,seqspec_version,seqspec_version_error,Input source does not exist: https://api.data.igvf.org/configuration-files/IGVFFI4163AAXY/@@download/IGVFFI4163AAXY.yaml.gz
IGVFFI4189FCNB,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS4901DMAE,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS704_well1D_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI4221DSTP,crispr,"Charles Gersbach, Duke",Ian Whaling,functional characterization,IGVFDS2399UCGA,,Perturb-seq,charles-gersbach:IGVFFI4432MMHG_v0.3.0_upgraded,0.3.0,0.4.0,resolve_fastqs,missing_fastq_metadata,Could not resolve FASTQ metadata for expected file '/data/reddylab/Alex/collab/20220523_Sean/data/sc_rna_seq/fastq/gRNA_CRISPRi_D2_S8_L004_R2_001.fastq.gz'.
IGVFFI4231VQHP,crispr,"Charles Gersbach, Duke",Ian Whaling,functional characterization,IGVFDS3945FAEL,,Perturb-seq,charles-gersbach:IGVFFI0628YCXP_v0.3.0_upgraded,0.3.0,0.4.0,resolve_fastqs,missing_fastq_metadata,Could not resolve FASTQ metadata for expected file '/data/reddylab/Alex/collab/20220523_Sean/data/sc_rna_seq/fastq/gRNA_CRISPRa_D3_S12_L002_R1_001.fastq.gz'.
IGVFFI4250CADG,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS9411TKFJ,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS705_well2G_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
