configuration_accession,modality,modality_count,lab,submitted_by,award_component,file_set_accession,assay_term,preferred_assay_titles,aliases,raw_seqspec_version,normalized_seqspec_version,requested_reads,requested_reads_total,expected_fastq_count,supplied_fastq_count,controlled_access,report_path,run_status,pass_count,warning_count,error_count,interpretation_count
IGVFFI0515ECKC,rna,1,"Gary Hon, UT",Mpathi Nzima,functional characterization,IGVFDS5502LTCL,in vitro CRISPR screen using single-cell RNA-seq,Perturb-seq,gary-hon:seqspec_IGVFFI3988NDQI_rna,0.3.0,0.4.0,10000,30000,3,3,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0515ECKC/rna.json,cached,12,5,0,3
IGVFFI0517BKZB,atac,1,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS1872UZFL,single-cell ATAC-seq,SHARE-seq,buenrostro-bernstein:SS-LS_8577_seqspec,0.3.0,0.4.0,10000,30000,3,3,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0517BKZB/atac.json,cached,15,6,0,10
IGVFFI0517JIMD,rna,1,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS9299ECTO,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0517JIMD/rna.json,cached,14,5,0,3
IGVFFI0519BRKO,rna,1,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS9460DSVF,single-nucleus RNA sequencing assay,10x multiome,,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0519BRKO/rna.json,cached,18,3,0,2
IGVFFI0520TJZY,atac,1,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS4420JSXO,single-cell ATAC-seq,SHARE-seq,buenrostro-bernstein:SS-LS_1443_seqspec_fixed,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0520TJZY/atac.json,cached,13,5,0,9
IGVFFI0524PZXI,rna,1,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS3398OXZV,single-cell RNA sequencing assay,SHARE-seq,buenrostro-bernstein:SS-LS_1536_seqspec_fixed,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0524PZXI/rna.json,cached,14,6,0,8
IGVFFI0524UONL,rna,1,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS7609UAIN,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0524UONL/rna.json,cached,14,5,0,3
IGVFFI0525IBXR,atac,1,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS4171ULFR,single-nucleus ATAC-seq,10x multiome,,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0525IBXR/atac.json,cached,18,2,0,5
IGVFFI0525IRSO,rna,1,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS0074FRYO,bulk RNA-seq assay,RNA-seq,jay-shendure:seqspec_of_set_CRISPRa_singlevalidations_K562_DNMT3B_rep1,0.3.0,0.4.0,10000,10000,1,1,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0525IRSO/rna.json,cached,5,0,0,1
IGVFFI0527AZHR,rna,1,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS7908VMTV,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0527AZHR/rna.json,cached,14,5,0,3
IGVFFI0527NWZB,atac,1,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS0512GCRI,single-nucleus ATAC-seq,10x multiome,,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0527NWZB/atac.json,cached,18,2,0,5
IGVFFI0527YMOM,rna,1,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS3410UZAU,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0527YMOM/rna.json,cached,14,5,0,3
IGVFFI0530CJVT,rna,1,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS4748FKTG,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0530CJVT/rna.json,cached,14,5,0,3
IGVFFI0533EOPP,rna,1,"Thomas Quertermous, Stanford",Chongyon Park,functional characterization,IGVFDS5948GBFJ,in vitro CRISPR screen using single-cell RNA-seq,TAP-seq,thomas-quertermous:HCASMC2105_dCas9KRABzim3_TAPseq_large_configuration_files_rna_seqspec_10xlane10,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0533EOPP/rna.json,cached,16,5,0,2
IGVFFI0533NQQA,rna,1,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS3769NPFS,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0533NQQA/rna.json,cached,14,5,0,3
